FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$barrings.IsInCollection	Ici on regarde si le client est en collection. Car s'il est bloqué pour non paiement ce n'est pas la peine de poursuivre l'analyse technique.	Je regarde si il a un blocage financier.		En collection	Pas en collection		
$barrings.IsCollectionMailBoxMessage		Lorsque vous appelez votre mailbox,<N>entendez vous un message vous indiquant que vous êtes bloqués pour non paiement ?		Oui	Pas de message		
$barrings.DeviceRestart	Ici aussi après un changement de configuration on fait redémarrer pour être à jour.	Veuillez redémarrer votre appareil pour que les changements que je viens de faire dans le système prennent effet. 					
$barrings._SpecialProcessForBarringRemoval		Je fais le nécéssaire pour débloquer vos services. 					https://qoom.salt.ch/customer-process/subscriptions-cost/unblock_services/unblock_fraud_blocked_services|https://qoom.salt.ch/customer-process/subscriptions-cost/unblock_services/unblock_creditlimit_blocked_services
$barrings.WasUnbarrPossible	Il se peut que tu n'aie pas les autorisations (dans le cas de Fraud ou crédit limi pas exemple.<N>Suis alors les procédure de Qoom (cliques ci dessous pour ouvrir la doc).	Je vérifie que je peux enlever le blocage dans le CRM		Sans soucis	Déblocage impossible		
$barrings._RemoveCallBarring	Ne débloquer que si le client est <b>owner<b> et que c'est sa volonté.	Avec votre accord, J'enleve le blocage d'appels					
$barrings._RemovePremimBarring	Ne débloquer que si le client est <b>owner<b> et que c'est sa volonté de passer des appels premium (numéros à valeur ajoutée, généralement payants).	Avec votre accord, J'enleve le blocage d'appels vers les numéros premium					
$barrings.ArethereAnyBarrings	Avant d'intervenir sur les blocages <Q>clients<Q> ou  <Q>opérateur<Q> bien identifie l'appelant comme <b>Owner<b> de la souscription ! 	Je regarde sur votre compte si il y a des blocages de services. 		premium	aucun	appels	
$barrings._Pay		Vous devez vous acquitter du montant en souffrance.<N>Le payment débloquera les services automatiquement.					
